ingredient,fdc_id,description,data_type,brand_owner,source,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
unblanched almond flour,2261420,"Flour, almond",Foundation,,search,,,,,,2.961 g,,,,232.3 mg,577.62536 kcal,,,,0.9753 mg,,,,,9.266 g,,,,,,,37.83 µg,,,,,,,,,3.225 mg,,,,,,,,,251.1 mg,,1.813 mg,,,,,,,,,,3.998 mg,,,,,,,,,512.1 mg,,666.8 mg,,26.24375 g,,,,,,,,,,0.7475 mg,,0.7419 µg,,,,,,,,,,0.8944 mg,,,,,,0.1125 mg,,16.24925 g,50.23 g,,,,,,,,,0.09988 mg,,,,,4.316 g,2.795 mg
flaxseed meal,2262075,"Flaxseed, ground",Foundation,,search,1.085 g,,,,2.211 g,3.525 g,2.311 g,,,229.9 mg,514.44343 kcal,,,,1.344 mg,,,,,23.13 g,,,,,,,41.45 µg,,4.846 g,,,1.386 g,,0.5138 g,,5.778 mg,0.9375 g,,,1.38 g,,,,0.9325 g,372.1 mg,,2.405 mg,0.4025 g,5.944 g,,,,,,,,3.756 mg,,,,,,,,1.116 g,556.4 mg,24.73 g,793.4 mg,0.8725 g,18.0359 g,,,,,,,,,,,3.281 g,135.9 µg,1.138 g,,,,,,,,,36.74 mg,,,,,,0.5368 mg,0.9313 g,34.3551 g,37.28 g,,,0.3013 g,0.5725 g,1.138 g,,,,0.3926 mg,,,,3.675 µg,6.804 g,4.738 mg
ground chia,2710819,"Chia seeds, dry, raw",Foundation,,search,,,,,,4.373 g,,,,595.4 mg,490.09552 kcal,,,,1.566 mg,,,,,,,,,,,,,,,,,,,,,6.043 mg,,,,,,,,,326.3 mg,,7.558 mg,,,,,,,,,,8.678 mg,,,,,,,,,691.3 mg,,642.1 mg,,17.013 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 mg,,38.273 g,32.89 g,,,,,,,,,0.2024 mg,,,,,7.451 g,5.556 mg
hemp hearts,2515380,"Seeds, pumpkin seeds (pepitas), raw",Foundation,,search,,,,,,4.766 g,,,,37.38 mg,514.83917 kcal,,,,1.225 mg,,,,,5.079 g,,,,,,,,,,,,,,,,8.363 mg,,,,,,,,,499.7 mg,,4.121 mg,,,,,,,,,,,,,,,,,,,1150 mg,,691.2 mg,,29.9079 g,,,,,,,,,,,,20.52 µg,,,,,,,,,,,,,,,,,,18.6751 g,40.03 g,,,,,,,,,,,,,,6.621 g,6.341 mg
shelled sunflower seeds,2515381,"Seeds, sunflower seed, kernel, raw",Foundation,,search,,,,,,3.313 g,,,,115.6 mg,570.651 kcal,,,,1.875 mg,,,,,7.215 g,,,,,,,,,,,,,,,,4.37 mg,,,,,,,,,301.9 mg,,2.63 mg,,,,,,,,,,,,,,,,,,,732.0 mg,,656.8 mg,,18.8733 g,,,,,,,,,,,,17.78 µg,,,,,,,,,,,,,,,,,,24.5007 g,48.44 g,,,,,,,,,,,,,,4.873 g,5.578 mg
white sesame seeds,2515380,"Seeds, pumpkin seeds (pepitas), raw",Foundation,,search,,,,,,4.766 g,,,,37.38 mg,514.83917 kcal,,,,1.225 mg,,,,,5.079 g,,,,,,,,,,,,,,,,8.363 mg,,,,,,,,,499.7 mg,,4.121 mg,,,,,,,,,,,,,,,,,,,1150 mg,,691.2 mg,,29.9079 g,,,,,,,,,,,,20.52 µg,,,,,,,,,,,,,,,,,,18.6751 g,40.03 g,,,,,,,,,,,,,,6.621 g,6.341 mg
black sesame seeds,2515380,"Seeds, pumpkin seeds (pepitas), raw",Foundation,,search,,,,,,4.766 g,,,,37.38 mg,514.83917 kcal,,,,1.225 mg,,,,,5.079 g,,,,,,,,,,,,,,,,8.363 mg,,,,,,,,,499.7 mg,,4.121 mg,,,,,,,,,,,,,,,,,,,1150 mg,,691.2 mg,,29.9079 g,,,,,,,,,,,,20.52 µg,,,,,,,,,,,,,,,,,,18.6751 g,40.03 g,,,,,,,,,,,,,,6.621 g,6.341 mg
slivered almonds,2262074,"Almond butter, creamy",Foundation,,search,1.181 g,,,,2.771 g,3.185 g,3.006 g,,,263.8 mg,602.510076 kcal,,,,0.9746 mg,,,,,9.718 g,,,,,,,42.46 µg,,7.419 g,,,1.646 g,,0.6388 g,,4.108 mg,0.93 g,,,1.753 g,,,,0.6463 g,267.8 mg,,2.135 mg,0.1888 g,34.69 g,,,,,,,,3.909 mg,,,,,,,,1.384 g,506.9 mg,12.61 g,745.4 mg,1.123 g,20.78734 g,,,,,,,,,,,4.253 g,0.7938 µg,1.063 g,,,,,,,,,0.9963 mg,,,,,,0.09456 mg,0.7788 g,21.23666 g,53.04 g,,,0.1963 g,0.76 g,1.094 g,,,,0.08375 mg,,,16.67 mg,,1.751 g,3.178 mg
sliced almonds,2262074,"Almond butter, creamy",Foundation,,search,1.181 g,,,,2.771 g,3.185 g,3.006 g,,,263.8 mg,602.510076 kcal,,,,0.9746 mg,,,,,9.718 g,,,,,,,42.46 µg,,7.419 g,,,1.646 g,,0.6388 g,,4.108 mg,0.93 g,,,1.753 g,,,,0.6463 g,267.8 mg,,2.135 mg,0.1888 g,34.69 g,,,,,,,,3.909 mg,,,,,,,,1.384 g,506.9 mg,12.61 g,745.4 mg,1.123 g,20.78734 g,,,,,,,,,,,4.253 g,0.7938 µg,1.063 g,,,,,,,,,0.9963 mg,,,,,,0.09456 mg,0.7788 g,21.23666 g,53.04 g,,,0.1963 g,0.76 g,1.094 g,,,,0.08375 mg,,,16.67 mg,,1.751 g,3.178 mg
chopped walnuts,2346394,"Nuts, walnuts, English, halves, raw",Foundation,,search,0.59 g,,,,2.02 g,1.641 g,1.293 g,,,88.26 mg,678.66434 kcal,,,,1.206 mg,,,,,5.21 g,,,,,,,,,2.987 g,,,0.69 g,,0.3433 g,,2.235 mg,0.52 g,,,0.9967 g,,,,0.38 g,142.4 mg,,2.995 mg,0.19 g,9.625 g,,,,,,,,1.218 mg,,,,,,,,0.6067 g,365.1 mg,49.331 g,423.5 mg,0.78 g,14.5644 g,,,,,,,,,,,6.054 g,,0.78 g,,,,,,,,,,,,,,,0.23 mg,0.4433 g,10.9096 g,69.74 g,,,0.1267 g,0.43 g,0.5967 g,,,,0.6603 mg,,,,1.7 µg,3.145 g,2.76 mg
