ingredient,fdc_id,description,data_type,brand_owner,source,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
chlorella,323793,"Egg, white, dried",Foundation,,search,,,,,,5.47 g,,,,104.0 mg,1570.0 kJ,,17.0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6 mg,,,,,,,,,,,,,,,,,,,,,107.0 mg,,959.0 mg,,79.9 g,,,,,,,,,,,,,,,,,,,,,,1250.0 mg,,,,,,,,6.02 g,0.65 g,,,,,,,,,,,,,,7.98 g,0.43 mg
collard greens,2685574,"Collards, raw",Foundation,,search,,,,,,1.729 g,,,,276.4 mg,38.7580825 kcal,,,,0.1112 mg,,,,,3.816 g,,,,,,,168 µg,,,,,,,,,0.7505 mg,,,,,,,,,49.51 mg,,0.8716 mg,,,,,,,,,,,,,,,,,,,45.01 mg,,409.8 mg,,2.96875 g,,,,,,,,,,,,,,,,,,,,,,18.41 mg,,,,,,,,7.02225 g,0.77 g,,,,,,,,,,89.4 mg,,,,87.51 g,0.4594 mg
belgian endive,168412,"Endive, raw",SR Legacy,,search,0.062 g,,,,0.062 g,1.41 g,0.13 g,,,52.0 mg,71.0 kJ,,,16.8 mg,0.099 mg,,,0.01 g,,3.1 g,,,,,,,,,0.166 g,,,0.058 g,,0.023 g,,0.83 mg,0.072 g,,,0.098 g,,,,0.063 g,15.0 mg,,0.42 mg,0.014 g,0.004 g,,,,,,,,0.4 mg,,,,,,,,0.053 g,28.0 mg,0.087 g,314.0 mg,0.059 g,1.25 g,,,,,,,,,,0.075 mg,0.048 g,0.2 µg,0.049 g,,,,,,,,,22.0 mg,,,,,,0.08 mg,0.05 g,3.35 g,0.2 g,0.25 g,,0.005 g,0.04 g,0.063 g,108.0 µg,,0.9 mg,0.02 mg,6.5 mg,,0.44 mg,231.0 µg,93.79 g,0.79 mg
daikon,2747665,"Radishes, red, raw",Foundation,,search,,,,,,0.5238 g,,,,21.51 mg,19.60045 kcal,,,,0.001663 mg,,,,,1.314 g,,,,,,,63.2 µg,,,,,,,,,,,,,,,,,,8.944 mg,,0.07019 mg,,,,,,,,,,,,,,,,,,,17.91 mg,,197.8 mg,,0.65625 g,,,,,,,,,,,,,,,,,,,,,,51.16 mg,,,,,,,,4.05682 g,0.08313 g,2.644 g,,,,,,,,,17.76 mg,,,,94.68 g,0.1039 mg
water chestnuts,169301,"Water convolvulus,raw",SR Legacy,,search,0.109 g,,,,0.148 g,1.6 g,0.65 g,,,77.0 mg,80.0 kJ,,,,0.023 mg,,,0.028 g,,2.1 g,,,,,,,,,0.252 g,,,0.099 g,,0.047 g,,1.67 mg,0.104 g,,,0.146 g,,,,0.109 g,71.0 mg,,0.16 mg,0.044 g,,,,,,,,,0.9 mg,,,,,,,,0.127 g,39.0 mg,,312.0 mg,0.088 g,2.6 g,,,,,,,,,,0.1 mg,,0.9 µg,0.122 g,,,,,,,,,113.0 mg,,,,,,0.03 mg,0.14 g,3.13 g,0.2 g,,,,0.08 g,0.135 g,315.0 µg,,0.141 mg,0.096 mg,55.0 mg,,,,92.47 g,0.18 mg
bamboo shoots,169210,"Bamboo shoots, raw",SR Legacy,,search,0.124 g,,,,0.097 g,0.9 g,0.425 g,,,13.0 mg,115.0 kJ,,,,0.19 mg,,,0.022 g,,2.2 g,,,,,,,,,0.248 g,,,0.087 g,,0.042 g,,0.5 mg,0.088 g,,,0.14 g,,,,0.134 g,3.0 mg,,0.262 mg,0.03 g,0.007 g,,,,,,,,0.6 mg,,,,,,,,0.09 g,59.0 mg,0.134 g,533.0 mg,0.219 g,2.6 g,,,,,,,,,,0.07 mg,0.069 g,0.8 µg,0.127 g,,,,,,,,,4.0 mg,,,,,,0.15 mg,0.086 g,5.2 g,0.3 g,3.0 g,,0.027 g,,0.106 g,1.0 µg,,0.161 mg,0.24 mg,4.0 mg,,1.0 mg,,91.0 g,1.1 mg
snow peas,2747670,"Snow crab, legs only, frozen  ",Foundation,,search,,,,,,2.722 g,,,,97.8 mg,69.223 kcal,,,,0.6088 mg,,,,,,,,,,,,,,,,,,,,,0.2756 mg,,,,,,,,,58.37 mg,,0.02053 mg,,,,,,,,,,,,,,,,,,,162.0 mg,,192.9 mg,,15.5375 g,,,,,,,,,,,,60.03 µg,,,,,,,,,,728.5 mg,,,,,,,,1.1063 g,0.2942 g,,,,,,,2.22 µg,,,,,,,80.34 g,3.369 mg
sugar snap peas,2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",Foundation,,search,,,,,,0.875 g,,,,28.21 mg,77.798925 kcal,,,,0.1233 mg,,,,,5.95 g,,,,,,,,,,,,,,,,1.139 mg,,,,,,,,,21.91 mg,,0.2849 mg,,,,,,,,,,,,,,,,,,,77.74 mg,,109.2 mg,,4.734375 g,,,,,,,,,,,,,,,,,,,,,,207.4 mg,,,,,,,,12.707625 g,1.153 g,,,,,,,,,,,,,,80.53 g,0.712 mg
pattypan squash,2685571,"Squash, winter, acorn, raw",Foundation,,search,,,,,,0.8675 g,,,,24.82 mg,41.991125 kcal,,,,0.08685 mg,,,,,2.635 g,,,,,,,50 µg,,,,,,,,,0.3078 mg,,,,,,,,,23.75 mg,,0.1871 mg,,,,,,,,,,,,,,,,,,,42.04 mg,,332.1 mg,,1.25 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48 g,0.1825 g,,,,,,,,,,7 mg,,,,87.22 g,0.2935 mg
portobello mushrooms,2003598,"Mushroom, portabella",Foundation,,search,,,,,,0.8 g,,,,3.235 mg,26.024813 kcal,,,,0.2033 mg,,,,,1.879 g,,,,,,,,,,,,,,0.562 g,,0.139 mg,1.013 g,,,1.632 g,,,,1.464 g,9.037 mg,,0.04873 mg,0.347 g,,,,,,,,,3.898 mg,,,,,,,,1.024 g,87.48 mg,,349.3 mg,,2.75 g,,,,,,,,,,0.465 mg,,14.67 µg,,,,,,,,,,5.312 mg,,,,,,0.005167 mg,1.214 g,4.6583 g,0.3117 g,,,0.407 g,,2.16 g,,,,0.09692 mg,,,,,91.48 g,0.3888 mg
cremini mushrooms,2003603,"Mushroom, beech",Foundation,,search,,,,,,0.7613 g,,,,0.4325 mg,32.995442 kcal,,,,0.07302 mg,,,,,3.139 g,,,,,,,,,,,,,,0.429 g,,0.7388 mg,0.651 g,,,1.084 g,,,,1.029 g,10.49 mg,,0.156 mg,0.196 g,,,,,,,,,6.4 mg,,,,,,,,0.671 g,85.9 mg,,375.9 mg,,2.18 g,,,,,,,,,,0.2075 mg,,0.38 µg,,,,,,,,,,0.8913 mg,,,,,,0.007875 mg,0.826 g,6.7593 g,0.4494 g,,,0.299 g,,1.286 g,,,,0.1054 mg,,0.37 µg,,,89.85 g,0.4978 mg
black olives,332791,"Olives, green, Manzanilla, stuffed with pimiento",Foundation,,search,,,,,,4.29 g,,,,121.0 mg,543.0 kJ,,,1.6 mg,0.107 mg,48.0 µg,,,,4.0 g,,,,,,,,,,,,,,,,0.31 mg,,,,,340.0 µg,,,,12.4 mg,,0.047 mg,,8.86 g,,,,,,,,0.103 mg,,,,,,,,,7.0 mg,0.661 g,43.0 mg,,1.15 g,,,,,,,,,,,2.3 g,,,,,,,,,,,1620.0 mg,,,,,,0.041 mg,,4.32 g,,,,,,,25.0 µg,,,,,,3.78 mg,16.6 µg,76.7 g,0.09 mg
kalamata olives,332791,"Olives, green, Manzanilla, stuffed with pimiento",Foundation,,search,,,,,,4.29 g,,,,121.0 mg,543.0 kJ,,,1.6 mg,0.107 mg,48.0 µg,,,,4.0 g,,,,,,,,,,,,,,,,0.31 mg,,,,,340.0 µg,,,,12.4 mg,,0.047 mg,,8.86 g,,,,,,,,0.103 mg,,,,,,,,,7.0 mg,0.661 g,43.0 mg,,1.15 g,,,,,,,,,,,2.3 g,,,,,,,,,,,1620.0 mg,,,,,,0.041 mg,,4.32 g,,,,,,,25.0 µg,,,,,,3.78 mg,16.6 µg,76.7 g,0.09 mg
castelvetrano olives,332791,"Olives, green, Manzanilla, stuffed with pimiento",Foundation,,search,,,,,,4.29 g,,,,121.0 mg,543.0 kJ,,,1.6 mg,0.107 mg,48.0 µg,,,,4.0 g,,,,,,,,,,,,,,,,0.31 mg,,,,,340.0 µg,,,,12.4 mg,,0.047 mg,,8.86 g,,,,,,,,0.103 mg,,,,,,,,,7.0 mg,0.661 g,43.0 mg,,1.15 g,,,,,,,,,,,2.3 g,,,,,,,,,,,1620.0 mg,,,,,,0.041 mg,,4.32 g,,,,,,,25.0 µg,,,,,,3.78 mg,16.6 µg,76.7 g,0.09 mg
cherry tomatoes,321360,"Tomatoes, grape, raw",Foundation,,search,,,,,,0.56 g,,,,11.0 mg,113.0 kJ,,,9.8 mg,0.058 mg,,,,,2.1 g,,,,,,,10.0 µg,,,,,,,,,0.33 mg,,,,,,,4100.0 µg,,11.9 mg,,0.121 mg,,,,,,,,,,0.805 mg,,,,,,,,,28.0 mg,,260.0 mg,,0.83 g,,,,,,,,,,0.065 mg,,,,,,,,,,,,6.0 mg,,,,,,0.075 mg,,5.51 g,0.63 g,,,,,,,,,0.06 mg,27.2 mg,,0.98 mg,4.2 µg,92.5 g,0.2 mg
roma tomatoes,321360,"Tomatoes, grape, raw",Foundation,,search,,,,,,0.56 g,,,,11.0 mg,113.0 kJ,,,9.8 mg,0.058 mg,,,,,2.1 g,,,,,,,10.0 µg,,,,,,,,,0.33 mg,,,,,,,4100.0 µg,,11.9 mg,,0.121 mg,,,,,,,,,,0.805 mg,,,,,,,,,28.0 mg,,260.0 mg,,0.83 g,,,,,,,,,,0.065 mg,,,,,,,,,,,,6.0 mg,,,,,,0.075 mg,,5.51 g,0.63 g,,,,,,,,,0.06 mg,27.2 mg,,0.98 mg,4.2 µg,92.5 g,0.2 mg
beefsteak tomatoes,321360,"Tomatoes, grape, raw",Foundation,,search,,,,,,0.56 g,,,,11.0 mg,113.0 kJ,,,9.8 mg,0.058 mg,,,,,2.1 g,,,,,,,10.0 µg,,,,,,,,,0.33 mg,,,,,,,4100.0 µg,,11.9 mg,,0.121 mg,,,,,,,,,,0.805 mg,,,,,,,,,28.0 mg,,260.0 mg,,0.83 g,,,,,,,,,,0.065 mg,,,,,,,,,,,,6.0 mg,,,,,,0.075 mg,,5.51 g,0.63 g,,,,,,,,,0.06 mg,27.2 mg,,0.98 mg,4.2 µg,92.5 g,0.2 mg
vidalia onion,790577,"Onions, red, raw",Foundation,,search,,,,,,0.43 g,,,,17.0 mg,186.0 kJ,,,,0.058 mg,,,,,3.97 g,,,,,,,,,,,,,,,,0.24 mg,,,,,,,,,11.4 mg,,0.119 mg,,,,,,,,,,,,,,,,,,,41.0 mg,,197.0 mg,,0.94 g,,,,,,,,,,,,0.5 µg,,,,,,,,,,1.0 mg,,,,,,,,9.93 g,0.1 g,5.76 g,,,,,,,,,8.1 mg,,,,88.6 g,0.17 mg
purple cabbage,2346408,"Cabbage, red, raw",Foundation,,search,,,,,,0.6138 g,,,,30.99 mg,29.943836 kcal,,,,0.0035 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3 mg,,0.3094 mg,,,,,,,,,,,,,,,,,,,35.84 mg,,269.1 mg,,1.2425 g,,,,,,,,,,,,,,,,,,,,,,11.72 mg,,,,,,,,6.7899 g,0.2138 g,,,,,,,,,0.1789 mg,53.88 mg,,,32.3 µg,91.14 g,0.245 mg
yukon gold potatoes,2346403,"Potatoes, gold, without skin, raw",Foundation,,search,,,,,,0.8913 g,,,,5.943 mg,71.575228 kcal,,,,0.1304 mg,,,,,0.5856 g,,,,,,,,,,,,,,,,0.3728 mg,,,,,,,,,22.3 mg,,0.1598 mg,,,,,,,,,,1.585 mg,,,,,,,,,56.95 mg,,445.8 mg,,1.8125 g,,,,,,,,,,,,,,,,,,,,,,2.238 mg,,,,,,0.05125 mg,,15.9624 g,0.2638 g,0.6451 g,,,,,,,,0.145 mg,23.3 mg,,,0.8 µg,81.07 g,0.3739 mg
fingerling potatoes,2346403,"Potatoes, gold, without skin, raw",Foundation,,search,,,,,,0.8913 g,,,,5.943 mg,71.575228 kcal,,,,0.1304 mg,,,,,0.5856 g,,,,,,,,,,,,,,,,0.3728 mg,,,,,,,,,22.3 mg,,0.1598 mg,,,,,,,,,,1.585 mg,,,,,,,,,56.95 mg,,445.8 mg,,1.8125 g,,,,,,,,,,,,,,,,,,,,,,2.238 mg,,,,,,0.05125 mg,,15.9624 g,0.2638 g,0.6451 g,,,,,,,,0.145 mg,23.3 mg,,,0.8 µg,81.07 g,0.3739 mg
purple potatoes,2346403,"Potatoes, gold, without skin, raw",Foundation,,search,,,,,,0.8913 g,,,,5.943 mg,71.575228 kcal,,,,0.1304 mg,,,,,0.5856 g,,,,,,,,,,,,,,,,0.3728 mg,,,,,,,,,22.3 mg,,0.1598 mg,,,,,,,,,,1.585 mg,,,,,,,,,56.95 mg,,445.8 mg,,1.8125 g,,,,,,,,,,,,,,,,,,,,,,2.238 mg,,,,,,0.05125 mg,,15.9624 g,0.2638 g,0.6451 g,,,,,,,,0.145 mg,23.3 mg,,,0.8 µg,81.07 g,0.3739 mg
new potatoes,2346403,"Potatoes, gold, without skin, raw",Foundation,,search,,,,,,0.8913 g,,,,5.943 mg,71.575228 kcal,,,,0.1304 mg,,,,,0.5856 g,,,,,,,,,,,,,,,,0.3728 mg,,,,,,,,,22.3 mg,,0.1598 mg,,,,,,,,,,1.585 mg,,,,,,,,,56.95 mg,,445.8 mg,,1.8125 g,,,,,,,,,,,,,,,,,,,,,,2.238 mg,,,,,,0.05125 mg,,15.9624 g,0.2638 g,0.6451 g,,,,,,,,0.145 mg,23.3 mg,,,0.8 µg,81.07 g,0.3739 mg
blood orange,746771,"Oranges, raw, navels",Foundation,,search,0.028 g,,,,0.099 g,0.43 g,0.12 g,,,43.0 mg,196.0 kJ,,,,0.064 mg,,,0.009 g,,1.8 g,,,,,,,25.0 µg,,0.242 g,,,0.02 g,,0.011 g,,0.33 mg,0.014 g,,,0.025 g,,,,0.032 g,10.7 mg,,0.029 mg,0.007 g,,,,,,,,,0.425 mg,,,,,,,,0.051 g,23.0 mg,,166.0 mg,0.153 g,0.91 g,,,,,,,,,,0.051 mg,,,0.032 g,,,,,,,,,9.0 mg,,,,,,0.068 mg,0.016 g,10.6 g,0.15 g,8.57 g,,0.008 g,0.011 g,0.022 g,,,0.261 mg,0.079 mg,59.1 mg,,,,86.7 g,0.11 mg
cara cara orange,746771,"Oranges, raw, navels",Foundation,,search,0.028 g,,,,0.099 g,0.43 g,0.12 g,,,43.0 mg,196.0 kJ,,,,0.064 mg,,,0.009 g,,1.8 g,,,,,,,25.0 µg,,0.242 g,,,0.02 g,,0.011 g,,0.33 mg,0.014 g,,,0.025 g,,,,0.032 g,10.7 mg,,0.029 mg,0.007 g,,,,,,,,,0.425 mg,,,,,,,,0.051 g,23.0 mg,,166.0 mg,0.153 g,0.91 g,,,,,,,,,,0.051 mg,,,0.032 g,,,,,,,,,9.0 mg,,,,,,0.068 mg,0.016 g,10.6 g,0.15 g,8.57 g,,0.008 g,0.011 g,0.022 g,,,0.261 mg,0.079 mg,59.1 mg,,,,86.7 g,0.11 mg
black grapes,2346413,"Grapes, green, seedless, raw",Foundation,,search,,,,,,0.385 g,,,,9.897 mg,71.939325 kcal,,,,0.06091 mg,,,,,,,,,,,,,,,,,,,,,0.1991 mg,,,,,,,,,7.118 mg,,0.08365 mg,,,,,,,,,,,,,,,,,,,21.98 mg,,218.1 mg,,0.89875 g,,,,,,,,,,,,,,,,,,,,,,3.171 mg,,,,,,,,18.60375 g,0.2325 g,16.133 g,,,,,,,,,3.017 mg,,,,79.88 g,0.02674 mg
fuerte avocado,2710824,"Avocado, Hass, peeled, raw",Foundation,,search,,,,,,2.554 g,,,,14.46 mg,206.0493 kcal,,,,0.2849 mg,,,,,,,,,,,,128.7 µg,,,,,,,,,0.6133 mg,,,,,,,,,32.8 mg,,0.1966 mg,,,,,,,,,,,,,,,,,,,42.38 mg,,576.4 mg,,1.8125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3235 g,20.31 g,,,,,,,,,0.1674 mg,,,,,67.0 g,0.4596 mg
rainbow carrots,2258587,"Carrots, baby, raw",Foundation,,search,,,,,,0.6788 g,,,,42.23 mg,38.250983 kcal,,,,0.04062 mg,,,,,2.694 g,,,,,,,43.65 µg,,,,,,,,,0.088 mg,,,,,,,,,11.06 mg,,0.09288 mg,,,,,,,,,,0.7413 mg,,,,,,,,,29.58 mg,,237.3 mg,,0.805 g,,,,,,,,,,0.1156 mg,,,,,,,,,,,,62.66 mg,,,,,,0.04381 mg,,9.0787 g,0.1375 g,,,,,,,,,0.1146 mg,,,,,89.3 g,0.1597 mg
purple carrots,2258587,"Carrots, baby, raw",Foundation,,search,,,,,,0.6788 g,,,,42.23 mg,38.250983 kcal,,,,0.04062 mg,,,,,2.694 g,,,,,,,43.65 µg,,,,,,,,,0.088 mg,,,,,,,,,11.06 mg,,0.09288 mg,,,,,,,,,,0.7413 mg,,,,,,,,,29.58 mg,,237.3 mg,,0.805 g,,,,,,,,,,0.1156 mg,,,,,,,,,,,,62.66 mg,,,,,,0.04381 mg,,9.0787 g,0.1375 g,,,,,,,,,0.1146 mg,,,,,89.3 g,0.1597 mg
black-eyed peas,170419,"Peas, green, raw",SR Legacy,,search,0.24 g,,,,0.428 g,0.87 g,0.496 g,,,25.0 mg,339.0 kJ,,,28.4 mg,0.176 mg,,,0.032 g,,5.7 g,,,,,,,,,0.741 g,,,0.184 g,,0.107 g,,1.47 mg,0.195 g,,,0.323 g,2477.0 µg,,,0.317 g,33.0 mg,,0.41 mg,0.082 g,0.035 g,,,,,,,,2.09 mg,,,,,,,,0.2 g,108.0 mg,0.187 g,244.0 mg,0.173 g,5.42 g,,,,,,,,,,0.132 mg,0.071 g,1.8 µg,0.181 g,,,,,,,,,5.0 mg,,,,,,0.266 mg,0.203 g,14.45 g,0.4 g,5.67 g,,0.037 g,0.114 g,0.235 g,38.0 µg,,0.104 mg,0.169 mg,40.0 mg,,0.13 mg,24.8 µg,78.86 g,1.24 mg
fresh tomatoes,321360,"Tomatoes, grape, raw",Foundation,,search,,,,,,0.56 g,,,,11.0 mg,113.0 kJ,,,9.8 mg,0.058 mg,,,,,2.1 g,,,,,,,10.0 µg,,,,,,,,,0.33 mg,,,,,,,4100.0 µg,,11.9 mg,,0.121 mg,,,,,,,,,,0.805 mg,,,,,,,,,28.0 mg,,260.0 mg,,0.83 g,,,,,,,,,,0.065 mg,,,,,,,,,,,,6.0 mg,,,,,,0.075 mg,,5.51 g,0.63 g,,,,,,,,,0.06 mg,27.2 mg,,0.98 mg,4.2 µg,92.5 g,0.2 mg
plum tomatoes,321360,"Tomatoes, grape, raw",Foundation,,search,,,,,,0.56 g,,,,11.0 mg,113.0 kJ,,,9.8 mg,0.058 mg,,,,,2.1 g,,,,,,,10.0 µg,,,,,,,,,0.33 mg,,,,,,,4100.0 µg,,11.9 mg,,0.121 mg,,,,,,,,,,0.805 mg,,,,,,,,,28.0 mg,,260.0 mg,,0.83 g,,,,,,,,,,0.065 mg,,,,,,,,,,,,6.0 mg,,,,,,0.075 mg,,5.51 g,0.63 g,,,,,,,,,0.06 mg,27.2 mg,,0.98 mg,4.2 µg,92.5 g,0.2 mg
fresh oregano,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",Foundation,,search,,,,,,0.645 g,,,,0.6563 mg,72.85765625 kcal,,,,0.0563 mg,,,,,2.428 g,,,,,,,,,,,,,,,,0.3875 mg,,,,,,,,,25.76 mg,,0.1898 mg,,,,,,,,,,1.593 mg,,,,,,,,,75.46 mg,,237.0 mg,,2.789375 g,,,,,,,,,,0.1375 mg,,,,,,,,,,,,,,,,,,0.07875 mg,,14.689625 g,1.626 g,7.372 g,,,,,,,,0.1501 mg,,,,,80.25 g,0.5564 mg
fresh cilantro,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",Foundation,,search,,,,,,0.645 g,,,,0.6563 mg,72.85765625 kcal,,,,0.0563 mg,,,,,2.428 g,,,,,,,,,,,,,,,,0.3875 mg,,,,,,,,,25.76 mg,,0.1898 mg,,,,,,,,,,1.593 mg,,,,,,,,,75.46 mg,,237.0 mg,,2.789375 g,,,,,,,,,,0.1375 mg,,,,,,,,,,,,,,,,,,0.07875 mg,,14.689625 g,1.626 g,7.372 g,,,,,,,,0.1501 mg,,,,,80.25 g,0.5564 mg
fresh tarragon,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",Foundation,,search,,,,,,0.645 g,,,,0.6563 mg,72.85765625 kcal,,,,0.0563 mg,,,,,2.428 g,,,,,,,,,,,,,,,,0.3875 mg,,,,,,,,,25.76 mg,,0.1898 mg,,,,,,,,,,1.593 mg,,,,,,,,,75.46 mg,,237.0 mg,,2.789375 g,,,,,,,,,,0.1375 mg,,,,,,,,,,,,,,,,,,0.07875 mg,,14.689625 g,1.626 g,7.372 g,,,,,,,,0.1501 mg,,,,,80.25 g,0.5564 mg
cinnamon sticks,167940,"Cinnamon buns, frosted (includes honey buns)",SR Legacy,,search,0.18 g,,,,0.218 g,1.36 g,0.297 g,,,183.0 mg,1890.0 kJ,,5.0 mg,10.6 mg,0.062 mg,,,0.093 g,,1.2 g,,,,,,,53.0 µg,,1.553 g,,,0.172 g,,0.126 g,,1.37 mg,0.226 g,,,0.41 g,6.0 µg,,,0.215 g,14.0 mg,,0.292 mg,0.104 g,8.723 g,,,,,,,,2.404 mg,,,,,,,,0.264 g,131.0 mg,3.676 g,102.0 mg,0.568 g,4.45 g,,,,,,,,,,0.138 mg,12.649 g,13.0 µg,0.273 g,,,,,,,,,305.0 mg,,,,,,0.211 mg,0.176 g,48.6 g,0.072 g,25.7 g,0.295 g,0.068 g,0.189 g,0.255 g,,0.16 µg,0.337 mg,0.038 mg,0.3 mg,,1.15 mg,15.2 µg,18.98 g,0.53 mg
whole nutmeg,2512378,"Buckwheat, whole grain",Foundation,,search,,,,,,1.815 g,,,,13.64 mg,331.6005206 kcal,,,,0.4764 mg,,,,,,,,,,,,,,,,,,,,,2.444 mg,,,,,,,,,203.0 mg,,1.23 mg,,,,,,,,,,5.366 mg,,,,,,,,,373.7 mg,,414.5 mg,,11.06534 g,,,,,,,,,,0.1775 mg,,13.6 µg,,,,,,,,,,,,,,,,0.5388 mg,,71.13066 g,3.039 g,,,,,,,,,0.2776 mg,,,,,12.95 g,2.236 mg
whole cloves,2512378,"Buckwheat, whole grain",Foundation,,search,,,,,,1.815 g,,,,13.64 mg,331.6005206 kcal,,,,0.4764 mg,,,,,,,,,,,,,,,,,,,,,2.444 mg,,,,,,,,,203.0 mg,,1.23 mg,,,,,,,,,,5.366 mg,,,,,,,,,373.7 mg,,414.5 mg,,11.06534 g,,,,,,,,,,0.1775 mg,,13.6 µg,,,,,,,,,,,,,,,,0.5388 mg,,71.13066 g,3.039 g,,,,,,,,,0.2776 mg,,,,,12.95 g,2.236 mg
ground cardamom,2262075,"Flaxseed, ground",Foundation,,search,1.085 g,,,,2.211 g,3.525 g,2.311 g,,,229.9 mg,514.44343 kcal,,,,1.344 mg,,,,,23.13 g,,,,,,,41.45 µg,,4.846 g,,,1.386 g,,0.5138 g,,5.778 mg,0.9375 g,,,1.38 g,,,,0.9325 g,372.1 mg,,2.405 mg,0.4025 g,5.944 g,,,,,,,,3.756 mg,,,,,,,,1.116 g,556.4 mg,24.73 g,793.4 mg,0.8725 g,18.0359 g,,,,,,,,,,,3.281 g,135.9 µg,1.138 g,,,,,,,,,36.74 mg,,,,,,0.5368 mg,0.9313 g,34.3551 g,37.28 g,,,0.3013 g,0.5725 g,1.138 g,,,,0.3926 mg,,,,3.675 µg,6.804 g,4.738 mg
cardamom pods,170919,"Spices, cardamom",SR Legacy,,search,,,,,,5.78 g,,,,383.0 mg,1303.0 kJ,,,,0.383 mg,,,,,28.0 g,,,,,,,,,,,,,,,,13.97 mg,,,,,,,,,229.0 mg,,28.0 mg,,0.87 g,,,,,,,,1.102 mg,,,,,,,,,178.0 mg,0.43 g,1119.0 mg,,10.76 g,,,,,,,,,,0.182 mg,0.68 g,,,,,,,,,,,18.0 mg,,,,,,0.198 mg,,68.47 g,6.7 g,,,,,,,,,0.23 mg,21.0 mg,,,,8.28 g,7.47 mg
